2017-Aug-18 06H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-Aug-18 07H,1,0,6,18,18,0,0,0,0,2,0,6,0,0,11,0
2017-Aug-18 08H,8,0,2,6,6,0,0,0,0,2,0,2,0,0,3,0
2017-Aug-18 09H,3,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0
2017-Aug-18 10H,7,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
2017-Aug-18 11H,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
2017-Aug-18 12H,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 13H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 14H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 15H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 16H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 17H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 18H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 19H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 20H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 21H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 22H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-18 23H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 00H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 01H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 02H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 03H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 04H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 05H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-Aug-19 06H,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
